Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
88,n/a,Eke Odhaniya,Pawan Singh & Shilpi Raj,1,7558035,n/a,https://www.youtube.com/watch?v=5BaAV6BmAag
89,n/a,Chupón,El Gudi & Yeri Mua & Jey F & Alan Dazmel & Oviña,1,7550991,n/a,https://www.youtube.com/watch?v=LPoKmpVLYuA
90,50,Style,Taylor Swift,2,7535328,-0.32%,https://www.youtube.com/watch?v=-CmadmM5cOk
91,82,ELOVRGA,Alex Favela & Grupo Marca Registrada & Joaquin Medina,7,7504293,-0.08%,https://www.youtube.com/watch?v=0Yhcf2ZWMZk
92,n/a,Agora Hills,Doja Cat,2,7489516,n/a,https://www.youtube.com/watch?v=0c66ksfigtU
93,n/a,पियवा दुलारे,Karishma Kakkar,1,7467477,n/a,https://www.youtube.com/watch?v=r9xpDjmhFwo
94,n/a,One Love,Shubh,1,7459455,n/a,https://www.youtube.com/watch?v=0pWsCiBvLOk
95,n/a,Cobra,Megan Thee Stallion,1,7438175,n/a,https://www.youtube.com/watch?v=DOZNRoL0310
96,90,Numb,Linkin Park,18,7429019,-0.06%,https://www.youtube.com/watch?v=kXYiU_JCYtU
97,97,Not Ramaiya Vastavaiya,Anirudh Ravichander & Vishal Dadlani & Shilpa Rao,11,7423049,-0.04%,https://www.youtube.com/watch?v=m3OtL4peEWU
98,n/a,Un Poco Loco,Luis Ángel Gómez Jaramillo & Gael García Bernal,3,7353923,n/a,https://www.youtube.com/watch?v=yZ7cBunq8xo
99,96,Snooze,SZA,11,7322525,-0.06%,https://www.youtube.com/watch?v=LDY_XyxBu8A
100,84,The Lost Soul Down (Slowed & Reverb),NBSPLV,16,7255109,-0.1%,https://www.youtube.com/watch?v=HoqSbJ03zgo
